"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"pdlgc-fournisseur-sortant","pdlgc-fournisseur-sortant","","","",0,*,"","","","null {[]} {[]}
","PDLGC Fournisseur Sortant","PDLGC Fournisseur Sortant","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"pdlgc-fournisseur-sortant.statutJuridique","pdlgc-fournisseur-sortant.statutJuridique","","","",0,1,"","","","Coding {[]} {[]}
","Chaque entité juridique dispose d'un statut juridique qui caractérise la situation juridique de la personne morale.Le statut juridique détermine la situation juridique de l’établissement c’est-à-dire les règles particulières de fonctionnement qui le régissent, notamment sa gestion administrative et financière et la gestion de ses biens. Le statut juridique est attribué à la personne morale ou physique de l’établissement : l’entité juridique. Tous les établissements de la même EJ relèvent du même statut juridique.La nomenclature des statuts juridiques est une notion propre à FINESS.Les statuts juridiques sont eux-mêmes classifiés en grands agrégats qui sont :** Organismes et établissements publics:      - Etat et collectivités territoriales;     - Etablissements publics;** Organismes privés:     - Organismes privés à but non lucratif;     - Organismes privés à caractère commercial;** Personne morale de droit étranger.","Chaque entité juridique dispose d'un statut juridique qui caractérise la situation juridique de la personne morale.Le statut juridique détermine la situation juridique de l’établissement c’est-à-dire les règles particulières de fonctionnement qui le régissent, notamment sa gestion administrative et financière et la gestion de ses biens. Le statut juridique est attribué à la personne morale ou physique de l’établissement : l’entité juridique. Tous les établissements de la même EJ relèvent du même statut juridique.La nomenclature des statuts juridiques est une notion propre à FINESS.Les statuts juridiques sont eux-mêmes classifiés en grands agrégats qui sont :** Organismes et établissements publics:      - Etat et collectivités territoriales;     - Etablissements publics;** Organismes privés:     - Organismes privés à but non lucratif;     - Organismes privés à caractère commercial;** Personne morale de droit étranger.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R72-FinessStatutJuridique/FHIR/TRE-R72-FinessStatutJuridique?vs","",,,,"EntiteJuridique.statutJuridique",0,1,"",""
"pdlgc-fournisseur-sortant.agregatStatutJuridiqueNiv1","pdlgc-fournisseur-sortant.agregatStatutJuridiqueNiv1","","","",0,1,"","","","Coding {[]} {[]}
","Agrégat de statut juridique de niveau 1. L'agrégat de niveau 1 représente des regroupements d'agrégats de niveau 2. Par exemple, le code 1000 ""Organismes et Etablissements publics"" regroupe les codes d'agrégat de niveau 2 1100 et 1200.","Agrégat de statut juridique de niveau 1. L'agrégat de niveau 1 représente des regroupements d'agrégats de niveau 2. Par exemple, le code 1000 ""Organismes et Etablissements publics"" regroupe les codes d'agrégat de niveau 2 1100 et 1200.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R68-FinessAgregatStatutJuridiqueNiv1/FHIR/TRE-R68-FinessAgregatStatutJuridiqueNiv1?vs","",,,,"EntiteJuridique.agregatStatutJuridiqueNiv1",0,1,"",""
"pdlgc-fournisseur-sortant.agregatStatutJuridiqueNiv2","pdlgc-fournisseur-sortant.agregatStatutJuridiqueNiv2","","","",0,1,"","","","Coding {[]} {[]}
","Agrégat de statut juridique de niveau 2. L'agrégat de niveau 2 représente des regroupements d'agrégats de niveau 3. Par exemple, le code 1100 ""Etat et Collectivités territoriales"" regroupe les codes d'agrégats de niveau 3 1110 et 1120. Il caractérise le statut juridique d’une structure au sens du droit applicable (public / privé) et de la finalité (non lucratif / commercial).","Agrégat de statut juridique de niveau 2. L'agrégat de niveau 2 représente des regroupements d'agrégats de niveau 3. Par exemple, le code 1100 ""Etat et Collectivités territoriales"" regroupe les codes d'agrégats de niveau 3 1110 et 1120. Il caractérise le statut juridique d’une structure au sens du droit applicable (public / privé) et de la finalité (non lucratif / commercial).","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R69-FinessAgregatStatutJuridiqueNiv2/FHIR/TRE-R69-FinessAgregatStatutJuridiqueNiv2?vs","",,,,"EntiteJuridique.agregatStatutJuridiqueNiv2",0,1,"",""
"pdlgc-fournisseur-sortant.agregatStatutJuridiqueNiv3","pdlgc-fournisseur-sortant.agregatStatutJuridiqueNiv3","","","",0,1,"","","","Coding {[]} {[]}
","Agrégat de statut juridique de niveau 3. L'agrégat de niveau 3 représente des regroupements de statuts juridiques. Par exemple, le code 1120 ""Collectivité territoriale"" regroupe les statuts juridiques 02, 03 etc.","Agrégat de statut juridique de niveau 3. L'agrégat de niveau 3 représente des regroupements de statuts juridiques. Par exemple, le code 1120 ""Collectivité territoriale"" regroupe les statuts juridiques 02, 03 etc.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R70-FinessAgregatStatutJuridique/FHIR/TRE-R70-FinessAgregatStatutJuridique?vs","",,,,"EntiteJuridique.agregatStatutJuridiqueNiv3",0,1,"",""
"pdlgc-fournisseur-sortant.codeAPEN","pdlgc-fournisseur-sortant.codeAPEN","","","",0,1,"","","","Coding {[]} {[]}
","Toute entité juridique et chacun de ses établissements (EG) se voit attribuer par l'Insee, lors de son inscription au répertoire SIRENE, un code caractérisant son activité principale par référence à la nomenclature d'activités française (NAF rév. 2). Plus précisément, on distingue le code APEN pour l'EJ.","Toute entité juridique et chacun de ses établissements (EG) se voit attribuer par l'Insee, lors de son inscription au répertoire SIRENE, un code caractérisant son activité principale par référence à la nomenclature d'activités française (NAF rév. 2). Plus précisément, on distingue le code APEN pour l'EJ.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R75-InseeNAFrev2Niveau5/FHIR/TRE-R75-InseeNAFrev2Niveau5?vs","",,,,"EntiteJuridique.codeAPEN",0,1,"",""
"pdlgc-fournisseur-sortant.dateCreation","pdlgc-fournisseur-sortant.dateCreation","","","",0,1,"","","","date {[]} {[]}
","Date de création de l'entité juridique.","Date de création de l'entité juridique.","","","","","","","","","",,,,,"",,,,"EntiteJuridique.dateCreation",0,1,"",""
"pdlgc-fournisseur-sortant.dateModificationSiren","pdlgc-fournisseur-sortant.dateModificationSiren","","","",0,1,"","","","date {[]} {[]}
","Date de modification du numéro Siren.","Date de modification du numéro Siren.","","","","","","","","","",,,,,"",,,,"EntiteJuridique.dateModificationSiren",0,1,"",""
"pdlgc-fournisseur-sortant.origineModificationSIREN","pdlgc-fournisseur-sortant.origineModificationSIREN","","","",0,1,"","","","string {[]} {[]}
","Origine/nature de la modification du Siren (motif de modification de l’identifiant).","Origine/nature de la modification du Siren (motif de modification de l’identifiant).","","","","","","","","","",,,,,"",,,,"EntiteJuridique.origineModificationSIREN",0,1,"",""
"pdlgc-fournisseur-sortant.dateFermeture","pdlgc-fournisseur-sortant.dateFermeture","","","",0,1,"","","","date {[]} {[]}
","Date de fermeture de l'entité juridique.","Date de fermeture de l'entité juridique.","","","","","","","","","",,,,,"",,,,"EntiteJuridique.dateFermeture",0,1,"",""
"pdlgc-fournisseur-sortant.typeFermeture","pdlgc-fournisseur-sortant.typeFermeture","","","",0,1,"","","","Coding {[]} {[]}
","Type de fermeture de l'entité juridique, au sens des règles de gestion du SI FINESS (par exemple, fermeture définitive), obligatoire lors de la fermeture de l'entité.","Type de fermeture de l'entité juridique, au sens des règles de gestion du SI FINESS (par exemple, fermeture définitive), obligatoire lors de la fermeture de l'entité.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R286-TypeFermeture/FHIR/TRE-R286-TypeFermeture?vs","",,,,"EntiteJuridique.typeFermeture",0,1,"",""
"pdlgc-fournisseur-sortant.adresseEJ","pdlgc-fournisseur-sortant.adresseEJ","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Adresse {[]} {[]}
","Adresse géopostale de l'entité juridique.","Adresse géopostale de l'entité juridique.","","","","","","","","","",,,,,"",,,,"EntiteJuridique.adresseEJ",0,1,"",""
"pdlgc-fournisseur-sortant.contact","pdlgc-fournisseur-sortant.contact","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/pdlgc-contact-portabilite {[]} {[]}
","Point(s) de contact de l'entité juridique.","Point(s) de contact de l'entité juridique.","","","","","","","","","",,,,,"",,,,"EntiteJuridique.contact",0,*,"",""
"pdlgc-fournisseur-sortant.telecommunication","pdlgc-fournisseur-sortant.telecommunication","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Telecommunication {[]} {[]}
","Adresse(s) de télécommunication de l'entité juridique (numéro de téléphone, adresse email, URL, etc.).","Adresse(s) de télécommunication de l'entité juridique (numéro de téléphone, adresse email, URL, etc.).","","","","","","","","","",,,,,"",,,,"EntiteJuridique.telecommunication",0,*,"",""
"pdlgc-fournisseur-sortant.boiteLettresMSS","pdlgc-fournisseur-sortant.boiteLettresMSS","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/BoiteLettreMSS {[]} {[]}
","Boîte(s) aux lettres du service de messagerie sécurisée de santé (MSS) rattachée(s) à l'entité juridique.","Boîte(s) aux lettres du service de messagerie sécurisée de santé (MSS) rattachée(s) à l'entité juridique.","","","","","","","","","",,,,,"",,,,"EntiteJuridique.boiteLettresMSS",0,*,"",""
"pdlgc-fournisseur-sortant.EntiteGeographique","pdlgc-fournisseur-sortant.EntiteGeographique","","","",1,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/EntiteGeographique {[]} {[]}
","Lien vers la classe EntiteGeographique","Lien vers la classe EntiteGeographique","","","","","","","","","",,,,,"",,,,"EntiteJuridique.EntiteGeographique",1,*,"",""
"pdlgc-fournisseur-sortant.DispositifMedical","pdlgc-fournisseur-sortant.DispositifMedical","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/DispositifMedical {[]} {[]}
","Lien vers la classe DispositifMedical","Lien vers la classe DispositifMedical","","","","","","","","","",,,,,"",,,,"EntiteJuridique.DispositifMedical",0,*,"",""
"pdlgc-fournisseur-sortant.Certificat","pdlgc-fournisseur-sortant.Certificat","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Certificat {[]} {[]}
","Lien vers la classe Certificat","Lien vers la classe Certificat","","","","","","","","","",,,,,"",,,,"EntiteJuridique.Certificat",0,1,"",""
"pdlgc-fournisseur-sortant.LGCSystem","pdlgc-fournisseur-sortant.LGCSystem","","","",1,1,"Y","","","https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/pdlgc-system {[]} {[]}
","Informations relatives au LGC.","Informations relatives au LGC.","","","","","","","","","",,,,,"",,,,"pdlgc-fournisseur-sortant.LGCSystem",1,1,"",""
