"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ActorPatient","ActorPatient.XCN10","ActorPatient.XCN10","","","",1,1,"","","","code {[]} {[]}
","Type de nom : Valeur en fonction de l’auteur :  D, pour les personnes physiques, -U, pour les systèmes.","Type de nom : Valeur en fonction de l’auteur :  D, pour les personnes physiques, -U, pour les systèmes.","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""D""/>","","","",,,,,"",,,,"ActorXDS.XCN10",1,1,"",""
"ActorPatient","ActorPatient.XCN13","ActorPatient.XCN13","","","",1,1,"","","","code {[]} {[]}
","Type d’identifiant","Type d’identifiant","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""NH""/>","","","",,,,,"",,,,"ActorXDS.XCN13",1,1,"",""
"ActorSNR","ActorSNR","ActorSNR","","","",0,*,"","","","null {[]} {[]}
","ActorSNR (LM)","Cet attribut représente l'acteur SNR.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ActorSNR","ActorSNR.XCN1","ActorSNR.XCN1","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/Identifiant {[]} {[]}
","Identifiant de l'acteur","Identifiant de l'acteur","","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""9.8.7.6.5.4.3.2.1""/>","","",,,,,"",,,,"ActorXDS.XCN1",1,1,"",""
"ActorSNR","ActorSNR.XCN1.value[x]","ActorSNR.XCN1.value[x]","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/SNR {[]} {[]}
","Identifiant","Identifiant","","","","","","","","","",,,,,"",,,,"Identifiant.value[x]",1,1,"",""
"ActorSNR","ActorSNR.XCN2","ActorSNR.XCN2","","","",1,1,"","","","string {[]} {[]}
","Nom du système","Nom d'exercice du professionnel, nom du patient, nom du système.","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN2",1,1,"",""
"ActorSNR","ActorSNR.XCN3","ActorSNR.XCN3","","","",1,1,"","","","string {[]} {[]}
","Nom du modèle pour les dispositifs ou dénomination pour les autres systèmes.","Prénom usuel de la personne (par défaut le premier prénom), nom du modèle pour les dispositifs ou dénomination pour les autres systèmes.","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN3",1,1,"",""
"ActorSNR","ActorSNR.XCN9","ActorSNR.XCN9","","","",1,1,"","","","Base {[]} {[]}
"," Autorité d’affectation"," Autorité d’affectation","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN9",1,1,"",""
"ActorSNR","ActorSNR.XCN9.composant1","ActorSNR.XCN9.composant1","","","",0,0,"","","","string {[]} {[]}
","Vide, pas de valeur","Vide, pas de valeur","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN9.composant1",0,0,"",""
"ActorSNR","ActorSNR.XCN9.composant2","ActorSNR.XCN9.composant2","","","",1,1,"","","","string {[]} {[]}
","OID de l'éditeur","Valeur de Universal ID","","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""9.8.7.6.5.4.3.2.1.""/>","","",,,,,"",,,,"ActorXDS.XCN9.composant2",1,1,"",""
"ActorSNR","ActorSNR.XCN9.composant3","ActorSNR.XCN9.composant3","","","",1,1,"","","","string {[]} {[]}
","Valeur de Universal ID type (ID)","Valeur de Universal ID type (ID)","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN9.composant3",1,1,"",""
"ActorSNR","ActorSNR.XCN10","ActorSNR.XCN10","","","",1,1,"","","","code {[]} {[]}
","Type de nom : Valeur en fonction de l’auteur :  D, pour les personnes physiques, -U, pour les systèmes.","Type de nom : Valeur en fonction de l’auteur :  D, pour les personnes physiques, -U, pour les systèmes.","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""U""/>","","","",,,,,"",,,,"ActorXDS.XCN10",1,1,"",""
"ActorSNR","ActorSNR.XCN13","ActorSNR.XCN13","","","",1,1,"","","","code {[]} {[]}
","Type d’identifiant","Type d’identifiant","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""RI""/>","","","",,,,,"",,,,"ActorXDS.XCN13",1,1,"",""
"ActorSystem","ActorSystem","ActorSystem","","","",0,*,"","","","null {[]} {[]}
","ActorSystem (LM)","Cet attribut représente l'acteur System.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ActorSystem","ActorSystem.XCN1","ActorSystem.XCN1","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/Identifiant {[]} {[]}
","Identifiant de l'acteur","Identifiant de l'acteur","","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""3750100125/88""/>","","",,,,,"",,,,"ActorXDS.XCN1",1,1,"",""
"ActorSystem","ActorSystem.XCN1.value[x]","ActorSystem.XCN1.value[x]","","","",1,1,"","","","string {[CanonicalType[https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/IdentifiantSysteme|0.1.0]]} {[]}
","Identifiant","Identifiant","","","","","","","","","",,,,,"",,,,"Identifiant.value[x]",1,1,"",""
"ActorSystem","ActorSystem.XCN2","ActorSystem.XCN2","","","",1,1,"","","","string {[]} {[]}
","Nom du système","Nom d'exercice du professionnel, nom du patient, nom du système.","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN2",1,1,"",""
"ActorSystem","ActorSystem.XCN3","ActorSystem.XCN3","","","",1,1,"","","","string {[]} {[]}
","Nom du modèle pour les dispositifs ou dénomination pour les autres systèmes.","Prénom usuel de la personne (par défaut le premier prénom), nom du modèle pour les dispositifs ou dénomination pour les autres systèmes.","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN3",1,1,"",""
"ActorSystem","ActorSystem.XCN9","ActorSystem.XCN9","","","",1,1,"","","","Base {[]} {[]}
"," Autorité d’affectation"," Autorité d’affectation","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN9",1,1,"",""
"ActorSystem","ActorSystem.XCN9.composant1","ActorSystem.XCN9.composant1","","","",0,0,"","","","string {[]} {[]}
","Vide, pas de valeur","Vide, pas de valeur","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN9.composant1",0,0,"",""
"ActorSystem","ActorSystem.XCN9.composant2","ActorSystem.XCN9.composant2","","","",1,1,"","","","string {[]} {[]}
","Valeur de Universal ID","Valeur de Universal ID","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""1.2.250.1.71.4.2.1""/>","","","",,,,,"",,,,"ActorXDS.XCN9.composant2",1,1,"",""
"ActorSystem","ActorSystem.XCN9.composant3","ActorSystem.XCN9.composant3","","","",1,1,"","","","string {[]} {[]}
","Valeur de Universal ID type (ID)","Valeur de Universal ID type (ID)","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN9.composant3",1,1,"",""
"ActorSystem","ActorSystem.XCN10","ActorSystem.XCN10","","","",1,1,"","","","code {[]} {[]}
","Type de nom : Valeur en fonction de l’auteur :  D, pour les personnes physiques, -U, pour les systèmes.","Type de nom : Valeur en fonction de l’auteur :  D, pour les personnes physiques, -U, pour les systèmes.","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""U""/>","","","",,,,,"",,,,"ActorXDS.XCN10",1,1,"",""
"ActorSystem","ActorSystem.XCN13","ActorSystem.XCN13","","","",1,1,"","","","code {[]} {[]}
","Type d’identifiant","Type d’identifiant","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""RI""/>","","","",,,,,"",,,,"ActorXDS.XCN13",1,1,"",""
"ActorXDS","ActorXDS","ActorXDS","","","",0,*,"","","","null {[]} {[]}
","ActorXDS (LM)","Cet attribut représente un acteur (humain ou système) ayant contribué au document. Pour les documents d’expression personnelle du patient, cette métadonnée fait référence au patient. 

XCN de HL7 v2.5","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ActorXDS","ActorXDS.XCN1","ActorXDS.XCN1","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/Identifiant {[]} {[]}
","Identifiant de l'acteur","Identifiant de l'acteur","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN1",1,1,"",""
"ActorXDS","ActorXDS.XCN2","ActorXDS.XCN2","","","",1,1,"","","","string {[]} {[]}
","Nom d'exercice du professionnel, nom du patient, nom du système.","Nom d'exercice du professionnel, nom du patient, nom du système.","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN2",1,1,"",""
"ActorXDS","ActorXDS.XCN3","ActorXDS.XCN3","","","",1,1,"","","","string {[]} {[]}
","Prénom usuel de la personne (par défaut le premier prénom), nom du modèle pour les dispositifs ou dénomination pour les autres systèmes.","Prénom usuel de la personne (par défaut le premier prénom), nom du modèle pour les dispositifs ou dénomination pour les autres systèmes.","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN3",1,1,"",""
"ActorXDS","ActorXDS.XCN9","ActorXDS.XCN9","","","",1,1,"","","","Base {[]} {[]}
"," Autorité d’affectation"," Autorité d’affectation","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN9",1,1,"",""
"ActorXDS","ActorXDS.XCN9.composant1","ActorXDS.XCN9.composant1","","","",0,0,"","","","string {[]} {[]}
","Vide, pas de valeur","Vide, pas de valeur","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN9.composant1",0,0,"",""
"ActorXDS","ActorXDS.XCN9.composant2","ActorXDS.XCN9.composant2","","","",1,1,"","","","string {[]} {[]}
","Valeur de Universal ID","Valeur de Universal ID","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN9.composant2",1,1,"",""
"ActorXDS","ActorXDS.XCN9.composant3","ActorXDS.XCN9.composant3","","","",1,1,"","","","string {[]} {[]}
","Valeur de Universal ID type (ID)","Valeur de Universal ID type (ID)","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN9.composant3",1,1,"",""
"ActorXDS","ActorXDS.XCN10","ActorXDS.XCN10","","","",1,1,"","","","code {[]} {[]}
","Type de nom : Valeur en fonction de l’auteur :  D, pour les personnes physiques, -U, pour les systèmes.","Type de nom : Valeur en fonction de l’auteur :  D, pour les personnes physiques, -U, pour les systèmes.","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN10",1,1,"",""
"ActorXDS","ActorXDS.XCN13","ActorXDS.XCN13","","","",1,1,"","","","code {[]} {[]}
","Type d’identifiant","Type d’identifiant","","","","","","","","","",,,,,"",,,,"ActorXDS.XCN13",1,1,"",""
"Author","Author","Author","","","",0,*,"","","","null {[]} {[]}
","Author (LM)","Modèle logique d'un auteur.

Représente les personnes physiques et/ou les systèmes (dispositifs, automates, services numériques référencés…) auteurs d’un document ou d'un lot de soummission. 

L’auteur peut être : 
- Un professionnel (personne physique) via son logiciel de professionnel, 
- Le patient/usager (personne physique) via Mon espace Santé, 
- Un système de structure (dispositif, automate, appareil connecté…), 
- Un SNR (Service Numérique Référencé), 


**author** est un ensemble constitué des sous-attributs **authorInstitution** , **authorPerson**, **authorRole** et **authorSpecialty** et ne porte pas de valeur par lui-même. ","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Author","Author.institution","Author.institution","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/AuthorInstitution {[]} {[]}
","Cet attribut représente la structure de l’auteur.","Cet attribut représente la structure de l’auteur.","","","","","","","","","",,,,,"",,,,"Author.institution",0,1,"",""
"Author","Author.person[x]","Author.person[x]","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/ActorPS {[]} {[]}
https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/ActorPatient {[]} {[]}https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/ActorSNR {[]} {[]}https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/ActorSystem {[]} {[]}","Author","Author","","","","","","","","","",,,,,"",,,,"Author.person[x]",1,1,"",""
"Author","Author.role","Author.role","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Cet attribut représente le rôle fonctionnel joué par l’auteur vis-à-vis du patient/usager lors de la création du document, c'est-à-dire à quel titre l’auteur est intervenu vis-à-vis du patient (ex : médecin traitant, Responsable de l'admission, Membre de l'équipe de soins, etc.). ","**Author Role**","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/JDV_J47-FunctionCode-CISIS/FHIR/JDV-J47-FunctionCode-CISIS|20250523120000","",,,,"Author.role",0,*,"",""
"Author","Author.specialty","Author.specialty","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Cet attribut représente la profession éventuellement associée au savoir-faire de l’auteur professionnel caractérisé par sa profession ou la profession associée au genre d’activité pour l’auteur professionnel caractérisé par son rôle. ","**AutorSpecialty**","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/JDV_J01-XdsAuthorSpecialty-CISIS/FHIR/JDV-J01-XdsAuthorSpecialty-CISIS|20260505120000","",,,,"Author.specialty",0,1,"",""
"AuthorDocumentEntry","AuthorDocumentEntry","AuthorDocumentEntry","","","",0,*,"","","","null {[]} {[]}
","AuthorDocumentEntry (LM)","Modèle logique d'un auteur d'un document
Cette métadonnée représente les personnes physiques et/ou les systèmes (dispositifs, automates, services numériques référencés…) auteurs d’un document. 
L’auteur peut être : 
-  Un professionnel (personne physique) via son logiciel de professionnel, 
- Le patient/usager (personne physique) via Mon espace Santé, 
-  Un système de structure (dispositif, automate, appareil connecté…), 
-  Un SNR (Service Numérique Référencé), ","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"AuthorDocumentEntry","AuthorDocumentEntry.institution","AuthorDocumentEntry.institution","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/AuthorInstitution {[]} {[]}
","Cet attribut représente la structure de l’auteur. Pour les documents d’expression personnelle du patient, cette métadonnée est absente.","Cet attribut représente la structure de l’auteur.","","","","","","","","","",,,,,"",,,,"Author.institution",0,1,"",""
"AuthorDocumentEntry","AuthorDocumentEntry.person[x]","AuthorDocumentEntry.person[x]","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/ActorPS {[]} {[]}
https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/ActorPatient {[]} {[]}https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/ActorSNR {[]} {[]}https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/ActorSystem {[]} {[]}","Cet attribut représente l’auteur (humain ou système) ayant contribué au document. Pour les documents d’expression personnelle du patient, cette métadonnée fait référence au patient.  ","Author","","","","","","","","","",,,,,"",,,,"Author.person[x]",1,1,"",""
"AuthorDocumentEntry","AuthorDocumentEntry.role","AuthorDocumentEntry.role","","","",0,*,"","","","CodeableConcept {[]} {[]}
","cette métadonnée représente le rôle joué par l’auteur vis-à-vis du patient lors de la constitution du lot de soumission, c'est-à-dire à quel titre l’auteur est intervenu vis-à-vis du patient (ex : médecin traitant, Responsable de l'admission, Membre de l'équipe de soins, etc.).","**Author Role**","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/JDV_J47-FunctionCode-CISIS/FHIR/JDV-J47-FunctionCode-CISIS|20250523120000","",,,,"Author.role",0,*,"",""
"AuthorDocumentEntry","AuthorDocumentEntry.specialty","AuthorDocumentEntry.specialty","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Cet attribut représente la profession éventuellement associée au savoir-faire de l’auteur professionnel caractérisé par sa profession ou la profession associée au genre d’activité pour l’auteur professionnel caractérisé par son rôle. ","**AutorSpecialty**","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/JDV_J01-XdsAuthorSpecialty-CISIS/FHIR/JDV-J01-XdsAuthorSpecialty-CISIS|20260505120000","",,,,"Author.specialty",0,1,"",""
"AuthorInstitution","AuthorInstitution","AuthorInstitution","","","",0,*,"","","","null {[]} {[]}
","AuthorInstitution (LM)","Cet attribut représente la structure de l’auteur. 
Pour les documents d’expression personnelle du patient, cette métadonnée est absente, cela signifie que l’élément XML <rim:Slot name='authorInstitution'> n’est pas transmis. ","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"AuthorInstitution","AuthorInstitution.XON1","AuthorInstitution.XON1","","","",1,1,"","","","string {[]} {[]}
","Nom de la structure","Nom de la structure","","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""Groupe Pitié Salpêtrière""/>","","",,,,,"",,,,"AuthorInstitution.XON1",1,1,"",""
"AuthorInstitution","AuthorInstitution.XON6","AuthorInstitution.XON6","","","",1,1,"","","","Base {[]} {[]}
","Autorité d’affectation","Identifiant de l’organisme gérant l’identifiant de la structure. Cet identifiant, au format HL7 v.2.5 est constitué de trois sous-composants qui prennent les valeurs suivantes. ","","","","","","","","","",,,,,"",,,,"AuthorInstitution.XON6",1,1,"",""
"AuthorInstitution","AuthorInstitution.XON6.composant1","AuthorInstitution.XON6.composant1","","","",0,0,"","","","string {[]} {[]}
","Vide, pas de valeur","Vide, pas de valeur","","","","","","","","","",,,,,"",,,,"AuthorInstitution.XON6.composant1",0,0,"",""
"AuthorInstitution","AuthorInstitution.XON6.composant2","AuthorInstitution.XON6.composant2","","","",1,1,"","","","string {[]} {[]}
","Valeur de Universal ID","Valeur de Universal ID","","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""1.2.250.1.71.4.2.2""/>","","",,,,,"",,,,"AuthorInstitution.XON6.composant2",1,1,"",""
"AuthorInstitution","AuthorInstitution.XON6.composant3","AuthorInstitution.XON6.composant3","","","",1,1,"","","","string {[]} {[]}
","Valeur de Universal ID type (ID)","Valeur de Universal ID type (ID)","","","","","","","","","",,,,,"",,,,"AuthorInstitution.XON6.composant3",1,1,"",""
"AuthorInstitution","AuthorInstitution.XON7","AuthorInstitution.XON7","","","",1,1,"","","","code {[]} {[]}
","Type d’identifiant","Type d’identifiant","","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""IDNST""/>","","",,,,,"",,,,"AuthorInstitution.XON7",1,1,"",""
"AuthorInstitution","AuthorInstitution.XON10","AuthorInstitution.XON10","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/StructIdNat {[]} {[]}
"," Identifiant de la structure (Struct_IdNat)"," Identifiant de la structure (Struct_IdNat)","","","","","","","","","",,,,,"",,,,"AuthorInstitution.XON10",1,1,"",""
"AuthorSubmissionSet","AuthorSubmissionSet","AuthorSubmissionSet","","","",0,*,"","","","null {[]} {[]}
","AuthorSubmissionSet (LM)","Modèle logique d'un auteur d'un lot de soumission
Cette métadonnée représente les personnes physiques et/ou les systèmes auteurs d’un lot de soumission. 
Constituée des sous-attributs **authorInstitution**, **authorPerson**, **authorRole** et **authorSpecialty**, elle ne porte pas de valeur par elle-même. ","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"AuthorSubmissionSet","AuthorSubmissionSet.institution","AuthorSubmissionSet.institution","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/AuthorInstitution {[]} {[]}
","Cette métadonnée représente la structure émettrice du lot de soumission","Cet attribut représente la structure de l’auteur.","","","","","","","","","",,,,,"",,,,"Author.institution",0,1,"",""
"AuthorSubmissionSet","AuthorSubmissionSet.person[x]","AuthorSubmissionSet.person[x]","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/ActorPS {[]} {[]}
https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/ActorPatient {[]} {[]}https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/ActorSNR {[]} {[]}https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/ActorSystem {[]} {[]}","Cette métadonnée représente la personne physique ou le système émetteur du lot de soumission.Pour les documents d’expression personnelle du patient, cette métadonnée fait référence au patient.  ","Author","","","","","","","","","",,,,,"",,,,"Author.person[x]",1,1,"",""
"AuthorSubmissionSet","AuthorSubmissionSet.role","AuthorSubmissionSet.role","","","",0,*,"","","","CodeableConcept {[]} {[]}
","ette métadonnée représente le rôle joué par l’auteur vis-à-vis du patient lors de la constitution du lot de soumission, c'est-à-dire à quel titre l’auteur est intervenu vis-à-vis du patient (ex : médecin traitant, Responsable de l'admission, Membre de l'équipe de soins, etc.).","**Author Role**","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/JDV_J47-FunctionCode-CISIS/FHIR/JDV-J47-FunctionCode-CISIS|20250523120000","",,,,"Author.role",0,*,"",""
"AuthorSubmissionSet","AuthorSubmissionSet.specialty","AuthorSubmissionSet.specialty","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Cet attribut représente la profession éventuellement associée au savoir-faire de l’auteur professionnel caractérisé par sa profession ou la profession associée au genre d’activité pour l’auteur professionnel caractérisé par son rôle. ","**AutorSpecialty**","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/JDV_J01-XdsAuthorSpecialty-CISIS/FHIR/JDV-J01-XdsAuthorSpecialty-CISIS|20260505120000","",,,,"Author.specialty",0,1,"",""
"DocumentEntry","DocumentEntry","DocumentEntry","","","",0,*,"","","","null {[]} {[]}
","Document Entry (LM)","Modèle logique  d’une fiche","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
